date,revenue
2023-07-13,31524.11
2023-07-14,44046.12
2023-07-15,50805.42
2023-07-16,30555.45
2023-07-17,22740.06
2023-07-18,45569.07
2023-07-19,30517.13
2023-07-20,29015.09
2023-07-21,27432.65
2023-07-22,36066.19
2023-07-23,31336.36
2023-07-24,17659.01
2023-07-25,24590.68
2023-07-26,28478.25
2023-07-27,29090.98
2023-07-28,25248.49
2023-07-29,24186.30
2023-07-30,21987.11
2023-07-31,70152.81
2023-08-01,75407.10
2023-08-02,103211.57
2023-08-03,30978.24
2023-08-04,22278.84
2023-08-05,27270.61
2023-08-06,16628.51
2023-08-07,22550.86
2023-08-08,111532.24
2023-08-09,35527.06
2023-08-10,20693.26
2023-08-11,22323.91
2023-08-12,19956.64
2023-08-13,18227.52
2023-08-14,16575.44
2023-08-15,23824.35
2023-08-16,26699.32
2023-08-17,27774.93
2023-08-18,46642.36
2023-08-19,34626.90
2023-08-20,17897.36
2023-08-21,12970.03
2023-08-22,18696.53
2023-08-23,24536.13
2023-08-24,15885.42
2023-08-25,15065.76
2023-08-26,18864.17
2023-08-27,12503.61
2023-08-28,9513.48
2023-08-29,14304.78
2023-08-30,26032.85
2023-08-31,24997.87
2023-09-01,20116.65
2023-09-02,20194.58
2023-09-03,15947.78
2023-09-04,10943.17
2023-09-05,12716.91
2023-09-06,14915.27
2023-09-07,25590.49
2023-09-08,19937.46
2023-09-09,15388.07
2023-09-10,12085.67
2023-09-11,11228.86
2023-09-12,22285.72
2023-09-13,26625.56
2023-09-14,19649.58
2023-09-15,14646.63
2023-09-16,19383.92
2023-09-17,14021.48
2023-09-18,11247.08
2023-09-19,15661.54
2023-09-20,30342.27
2023-09-21,15708.61
2023-09-22,20056.78
2023-09-23,23243.47
2023-09-24,12871.51
2023-09-25,22999.94
2023-09-26,19020.67
2023-09-27,19223.83
2023-09-28,16254.18
2023-09-29,21212.43
2023-09-30,70315.27
2023-10-01,41807.75
2023-10-02,31536.81
2023-10-03,91764.29
2023-10-04,38666.48
2023-10-05,19551.77
2023-10-06,43630.66
2023-10-07,20745.63
2023-10-08,26387.08
2023-10-09,31417.61
2023-10-10,29835.25
2023-10-11,35431.36
2023-10-12,30077.21
2023-10-13,63336.19
2023-10-14,42440.03
2023-10-15,33470.35
2023-10-16,38317.61
2023-10-17,216897.95
2023-10-18,20796.90
2023-10-19,26219.60
2023-10-20,37818.56
2023-10-21,34634.18
2023-10-22,24661.65
2023-10-23,21503.14
2023-10-24,40701.45
2023-10-25,56678.71
2023-10-26,29987.24
2023-10-27,35832.69
2023-10-28,22963.91
2023-10-29,22605.02
2023-10-30,22005.02
2023-10-31,30995.43
2023-11-01,40452.36
2023-11-02,43423.35
2023-11-03,70896.04
2023-11-04,54103.08
2023-11-05,35010.47
2023-11-06,75192.60
2023-11-07,57338.12
2023-11-08,26984.42
2023-11-09,24235.87
2023-11-10,39929.37
2023-11-11,42684.59
2023-11-12,33910.22
2023-11-13,28555.12
2023-11-14,34052.74
2023-11-15,33156.81
2023-11-16,38209.68
2023-11-17,34312.55
2023-11-18,28740.91
