date,treasury
2023-04-16,136485367.84
2023-04-17,130088699.21
2023-04-18,133643236.92
2023-04-19,117343260.65
2023-04-20,117022053.32
2023-04-21,113368006.60
2023-04-22,115453062.67
2023-04-23,117040459.58
2023-04-24,115140035.75
2023-04-25,116032842.15
2023-04-26,113619662.09
2023-04-27,116998304.49
2023-04-28,114632820.14
2023-04-29,115972132.71
2023-04-30,112316325.84
2023-05-01,109247202.67
2023-05-02,112197655.71
2023-05-03,120717127.88
2023-05-04,114954799.40
2023-05-05,119895586.61
2023-05-06,112660806.30
2023-05-07,109489277.35
2023-05-08,103971211.38
2023-05-09,102614402.13
2023-05-10,102690554.86
2023-05-11,98911840.62
2023-05-12,100140751.17
2023-05-13,99277294.37
2023-05-14,99566729.17
2023-05-15,101662947.05
2023-05-16,102500902.31
2023-05-17,103070454.84
2023-05-18,101545846.06
2023-05-19,102379479.23
2023-05-20,102727066.61
2023-05-21,103049394.13
2023-05-22,104755602.03
2023-05-23,107657452.77
2023-05-24,103035717.88
2023-05-25,102009716.68
2023-05-26,105916997.65
2023-05-27,105086869.56
2023-05-28,107195538.92
2023-05-29,105128312.13
2023-05-30,103422250.59
2023-05-31,100699666.97
2023-06-01,99604513.59
2023-06-02,105651067.89
2023-06-03,104670884.22
2023-06-04,105148269.33
2023-06-05,96516162.77
2023-06-06,98701243.58
2023-06-07,93884890.06
2023-06-08,94009212.23
2023-06-09,93236206.20
2023-06-10,83017721.70
2023-06-11,82254970.39
2023-06-12,79352439.66
2023-06-13,80289482.84
2023-06-14,70677055.59
2023-06-15,75208289.67
2023-06-16,77057321.04
2023-06-17,77262887.28
2023-06-18,77238957.19
2023-06-19,77879645.49
2023-06-20,82110917.12
2023-06-21,85365108.84
2023-06-22,82519888.02
2023-06-23,85536169.66
2023-06-24,82592604.59
2023-06-25,87469205.27
2023-06-26,83742697.88
2023-06-27,85318991.51
2023-06-28,82259415.08
2023-06-29,87460455.11
2023-06-30,94562289.49
2023-07-01,95729172.85
2023-07-02,95098781.01
2023-07-03,96740261.35
2023-07-04,100267842.31
2023-07-05,96873932.44
2023-07-06,90181414.05
2023-07-07,97238681.62
2023-07-08,95853058.97
2023-07-09,98558278.36
2023-07-10,100105727.77
2023-07-11,98219392.53
2023-07-12,97220077.49
2023-07-13,104457186.10
2023-07-14,101232655.05
2023-07-15,101612349.71
2023-07-16,100381620.06
2023-07-17,99983707.08
2023-07-18,97045915.32
2023-07-19,96384115.82
2023-07-20,97056613.47
2023-07-21,95324780.84
