date,trading_volume
2023-04-16,102368309.32
2023-04-17,129315875.48
2023-04-18,111226930.14
2023-04-19,151901953.61
2023-04-20,160811104.67
2023-04-21,227154007.65
2023-04-22,121326896.27
2023-04-23,94816769.96
2023-04-24,140705326.19
2023-04-25,155767199.82
2023-04-26,176689260.70
2023-04-27,245265894.21
2023-04-28,139247357.01
2023-04-29,101971844.29
2023-04-30,94985118.96
2023-05-01,146465275.41
2023-05-02,132507092.44
2023-05-03,140412085.75
2023-05-04,104956658.81
2023-05-05,104360923.43
2023-05-06,117721241.57
2023-05-07,69929827.51
2023-05-08,148553578.02
2023-05-09,141037594.37
2023-05-10,152880033.90
2023-05-11,169429825.84
2023-05-12,150558940.53
2023-05-13,49432463.56
2023-05-14,57820026.10
2023-05-15,95789632.65
2023-05-16,122457748.21
2023-05-17,120720393.25
2023-05-18,111339440.26
2023-05-19,108693310.05
2023-05-20,61308541.15
2023-05-21,57740021.18
2023-05-22,103802506.65
2023-05-23,138499296.42
2023-05-24,141427701.82
2023-05-25,141418881.98
2023-05-26,90324021.65
2023-05-27,45438326.54
2023-05-28,82962604.66
2023-05-29,93159040.60
2023-05-30,111639402.25
2023-05-31,106236887.55
2023-06-01,132346396.89
2023-06-02,118461088.41
2023-06-03,67891884.65
2023-06-04,60160847.99
2023-06-05,148389420.54
2023-06-06,160095855.93
2023-06-07,166747596.51
2023-06-08,140720829.91
2023-06-09,141846354.08
2023-06-10,359428097.73
2023-06-11,134360443.41
2023-06-12,251803869.66
2023-06-13,193944161.71
2023-06-14,249028114.28
2023-06-15,1274346987.44
2023-06-16,298086147.93
2023-06-17,139854052.63
2023-06-18,53428385.90
2023-06-19,192086461.93
2023-06-20,237434848.96
2023-06-21,232724463.85
2023-06-22,213701256.49
2023-06-23,188469269.98
2023-06-24,96537548.29
2023-06-25,103600423.37
2023-06-26,182422674.64
2023-06-27,122065262.86
2023-06-28,127622206.51
2023-06-29,149058113.74
2023-06-30,238217131.50
2023-07-01,82281440.26
2023-07-02,80004677.22
2023-07-03,156266470.29
2023-07-04,146649853.41
2023-07-05,128635162.89
2023-07-06,152253905.98
2023-07-07,126645687.50
2023-07-08,51403200.17
2023-07-09,68975052.69
2023-07-10,192250441.02
2023-07-11,129488366.53
2023-07-12,154541378.02
