date,token_incentives
2022-12-14,320314.97
2022-12-15,426735.51
2022-12-16,263098.44
2022-12-17,282075.30
2022-12-18,284372.52
2022-12-19,281889.35
2022-12-20,261841.19
2022-12-21,272274.53
2022-12-22,338887.04
2022-12-23,272971.38
2022-12-24,306964.64
2022-12-25,251964.89
2022-12-26,262293.74
2022-12-27,277227.61
2022-12-28,252668.99
2022-12-29,360588.69
2022-12-30,255554.73
2022-12-31,256458.80
2023-01-01,263441.12
2023-01-02,272433.37
2023-01-03,271427.03
2023-01-04,266754.52
2023-01-05,378740.93
2023-01-06,275153.94
2023-01-07,280284.74
2023-01-08,280753.86
2023-01-09,303964.85
2023-01-10,314811.29
2023-01-11,308401.41
2023-01-12,517420.10
2023-01-13,377490.49
2023-01-14,423408.22
2023-01-15,416499.32
2023-01-16,414332.76
2023-01-17,458872.97
2023-01-18,460389.99
2023-01-19,643991.04
2023-01-20,504951.89
2023-01-21,497181.77
2023-01-22,540719.55
2023-01-23,534157.78
2023-01-24,483290.97
2023-01-25,508677.82
2023-01-26,928780.70
2023-01-27,571045.87
2023-01-28,529733.60
2023-01-29,507108.98
2023-01-30,492960.28
2023-01-31,488636.57
2023-02-01,612835.57
2023-02-02,747436.68
2023-02-03,579273.45
2023-02-04,527703.24
2023-02-05,533604.51
2023-02-06,476281.94
2023-02-07,518109.64
2023-02-08,576909.02
2023-02-09,651386.85
2023-02-10,495596.84
2023-02-11,471225.08
2023-02-12,470708.83
2023-02-13,508684.97
2023-02-14,451393.05
2023-02-15,574299.10
2023-02-16,823263.25
2023-02-17,617190.34
2023-02-18,664443.69
2023-02-19,559757.63
2023-02-20,628435.68
2023-02-21,523747.62
2023-02-22,533566.08
2023-02-23,721619.33
2023-02-24,524535.95
2023-02-25,469141.02
2023-02-26,460748.40
2023-02-27,476585.59
2023-02-28,488228.99
2023-03-01,493776.56
2023-03-02,719786.88
2023-03-03,432196.39
2023-03-04,422304.55
2023-03-05,420482.94
2023-03-06,445271.24
2023-03-07,500864.89
2023-03-08,401338.64
2023-03-09,563314.46
2023-03-10,462083.48
2023-03-11,430448.55
2023-03-12,502226.10
2023-03-13,512879.06
2023-03-14,436429.39
2023-03-15,546494.16
2023-03-16,824499.91
2023-03-17,484750.67
2023-03-18,529346.83
2023-03-19,472452.92
2023-03-20,509460.51
2023-03-21,520066.98
2023-03-22,454026.18
2023-03-23,649503.77
2023-03-24,418109.82
2023-03-25,478437.47
2023-03-26,491005.88
2023-03-27,364587.88
2023-03-28,444550.61
2023-03-29,470526.58
2023-03-30,606334.69
2023-03-31,516715.00
2023-04-01,471958.85
2023-04-02,431562.44
2023-04-03,418675.97
2023-04-04,568784.71
2023-04-05,475043.99
2023-04-06,718087.45
2023-04-07,507295.82
2023-04-08,481873.95
2023-04-09,489209.03
2023-04-10,470232.42
2023-04-11,474454.53
2023-04-12,508431.06
2023-04-13,858567.88
2023-04-14,468069.24
2023-04-15,558758.80
2023-04-16,492379.68
2023-04-17,472721.60
2023-04-18,422105.37
